Category;Year;Number of grants;Percentage;Source
2;2022;3;0.13562387;Assessment report information related to previous applications
3;2022;9;0.406871609;Assessment report information related to previous applications
4;2022;335;15.14466546;Assessment report information related to previous applications
5;2022;1479;66.86256781;Assessment report information related to previous applications
6;2022;366;16.54611212;Assessment report information related to previous applications
2;2023;1;0.047687172;Assessment report information related to previous applications
3;2023;17;0.810681927;Assessment report information related to previous applications
4;2023;281;13.40009537;Assessment report information related to previous applications
5;2023;1429;68.144969;Assessment report information related to previous applications
6;2023;368;17.54887935;Assessment report information related to previous applications
7;2023;1;0.047687172;Assessment report information related to previous applications
1;2021;1;0.038299502;Assessment report information related to previous applications
2;2021;1;0.038299502;Assessment report information related to previous applications
3;2021;30;1.148985063;Assessment report information related to previous applications
4;2021;472;18.07736499;Assessment report information related to previous applications
5;2021;1741;66.67943317;Assessment report information related to previous applications
6;2021;366;14.01761777;Assessment report information related to previous applications
2;2024;2;0.090252708;Assessment report information related to previous applications
3;2024;23;1.037906137;Assessment report information related to previous applications
4;2024;299;13.49277978;Assessment report information related to previous applications
5;2024;1455;65.65884477;Assessment report information related to previous applications
6;2024;437;19.72021661;Assessment report information related to previous applications
2;2025;1;0.042607584;Assessment report information related to previous applications
3;2025;12;0.51129101;Assessment report information related to previous applications
4;2025;254;10.82232637;Assessment report information related to previous applications
5;2025;1586;67.57562846;Assessment report information related to previous applications
6;2025;494;21.04814657;Assessment report information related to previous applications